1	6	11
16	15	8
2	10	2
11	6	14
11	9	11
2	16	18
4	1	11
19	13	19
10	1	6
4	6	1
15	13	14
9	18	11
13	3	17
1	9	5
8	11	6
14	12	14
17	8	19
8	13	16
1	16	17
15	16	5
4	18	9
8	5	8
13	17	1
19	6	9
18	7	19
14	12	13
15	2	12
7	2	17
18	13	5
15	13	11
9	2	9
5	16	4
1	2	17
